frame number,image_height,image_width,publisher_sent,subscriber_received,frequency,latency,packets_receieved_count,transport
127,10,10,1705262103390503121,1705262103390866476,10,363355,254,2
128,10,10,1705262103491008679,1705262103491237026,10,228347,255,2
128,10,10,1705262103491008679,1705262103491437038,10,428359,256,2
129,10,10,1705262103591554906,1705262103591792921,10,238015,257,2
129,10,10,1705262103591554906,1705262103591996266,10,441360,258,2
130,10,10,1705262103692117801,1705262103692384817,10,267016,259,2
130,10,10,1705262103692117801,1705262103692527159,10,409358,260,2
131,10,10,1705262103792668028,1705262103793488745,10,820717,261,2
131,10,10,1705262103792668028,1705262103793804098,10,1136070,262,2
132,10,10,1705262103894080309,1705262103894582673,10,502364,263,2
132,10,10,1705262103894080309,1705262103894792353,10,712044,264,2
133,10,10,1705262103995001226,1705262103995295911,10,294685,265,2
133,10,10,1705262103995001226,1705262103995455921,10,454695,266,2
134,10,10,1705262104095595123,1705262104095858139,10,263016,267,2
134,10,10,1705262104095595123,1705262104096038483,10,443360,268,2
135,10,10,1705262104196186019,1705262104196463370,10,277351,269,2
135,10,10,1705262104196186019,1705262104196623380,10,437361,270,2
136,10,10,1705262104296760915,1705262104297036932,10,276017,271,2
136,10,10,1705262104296760915,1705262104297185941,10,425026,272,2
137,10,10,1705262104397325810,1705262104397565158,10,239348,273,2
137,10,10,1705262104397325810,1705262104397705500,10,379690,274,2
138,10,10,1705262104497841702,1705262104498304397,10,462695,275,2
138,10,10,1705262104497841702,1705262104498498409,10,656707,276,2
139,10,10,1705262104598669947,1705262104599083972,10,414025,277,2
139,10,10,1705262104598669947,1705262104599274317,10,604370,278,2
140,10,10,1705262104699442854,1705262104699748207,10,305353,279,2
140,10,10,1705262104699442854,1705262104699944552,10,501698,280,2
141,10,10,1705262104800107422,1705262104800370772,10,263350,281,2
141,10,10,1705262104800107422,1705262104800526115,10,418693,282,2
142,10,10,1705262104900674317,1705262104900952001,10,277684,283,2
142,10,10,1705262104900674317,1705262104901102677,10,428360,284,2
143,10,10,1705262105001243213,1705262105001494895,10,251682,285,2
143,10,10,1705262105001243213,1705262105001645571,10,402358,286,2
144,10,10,1705262105101786440,1705262105102063457,10,277017,287,2
144,10,10,1705262105101786440,1705262105102211133,10,424693,288,2
145,10,10,1705262105202353668,1705262105202657354,10,303686,289,2
145,10,10,1705262105202353668,1705262105202817364,10,463696,290,2
146,10,10,1705262105302992235,1705262105303250917,10,258682,291,2
146,10,10,1705262105302992235,1705262105303405927,10,413692,292,2
147,10,10,1705262105403556130,1705262105403805478,10,249348,293,2
147,10,10,1705262105403556130,1705262105403985823,10,429693,294,2
148,10,10,1705262105504137359,1705262105504602721,10,465362,295,2
148,10,10,1705262105504137359,1705262105504806734,10,669375,296,2
149,10,10,1705262105605023607,1705262105605306292,10,282685,297,2
149,10,10,1705262105605023607,1705262105605469968,10,446361,298,2
150,10,10,1705262105705625838,1705262105705993861,10,368023,299,2
150,10,10,1705262105705625838,1705262105706196540,10,570702,300,2
151,10,10,1705262105806310741,1705262105806614093,10,303352,301,2
151,10,10,1705262105806310741,1705262105806786770,10,476029,302,2
152,10,10,1705262105906969308,1705262105907230324,10,261016,303,2
152,10,10,1705262105906969308,1705262105907385667,10,416359,304,2
153,10,10,1705262106007524203,1705262106007856557,10,332354,305,2
153,10,10,1705262106007524203,1705262106008064903,10,540700,306,2
154,10,10,1705262106108215439,1705262106108481455,10,266016,307,2
154,10,10,1705262106108215439,1705262106108637132,10,421693,308,2
155,10,10,1705262106208790668,1705262106209098354,10,307686,309,2
155,10,10,1705262106208790668,1705262106209258697,10,468029,310,2
156,10,10,1705262106309414567,1705262106309657915,10,243348,311,2
156,10,10,1705262106309414567,1705262106309806591,10,392024,312,2
157,10,10,1705262106409976795,1705262106410251812,10,275017,313,2
157,10,10,1705262106409976795,1705262106410410489,10,433694,314,2
158,10,10,1705262106510563358,1705262106510880711,10,317353,315,2
158,10,10,1705262106510563358,1705262106511087391,10,524033,316,2
159,10,10,1705262106611240594,1705262106611528612,10,288018,317,2
159,10,10,1705262106611240594,1705262106611740958,10,500364,318,2
160,10,10,1705262106711903828,1705262106712163178,10,259350,319,2
160,10,10,1705262106711903828,1705262106712310520,10,406692,320,2
161,10,10,1705262106812450056,1705262106812699071,10,249015,321,2
161,10,10,1705262106812450056,1705262106812844080,10,394024,322,2
